NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
102,Hosston - North Benton,69 kV,Line,1976/12/31,145848,27.623,Southwestern Electric Power (LA),TLN194:00102,In service,AEP - SEP non-TX,289806
104,Red Point - Bellevue,69 kV,Line,1900/01/01,46774,8.859,Southwestern Electric Power (LA),TLN194:00104,In service,AEP - SEP non-TX,289854
107,Logansport - Stonewall,138 kV,Line,1946/12/31,119697,22.670,Southwestern Electric Power (LA),TLN194:00107,In service,AEP - SEP non-TX,289870
108,Logansport - Stanley REA,69 kV,Line,1946/12/31,51488,9.751,Southwestern Electric Power (LA),TLN194:00108,In service,AEP - SEP non-TX,370131
109,Linwood - Southwest Shreveport,138 kV,Line,1980/12/31,48719,9.227,Southwestern Electric Power (LA),TLN194:00109,In service,AEP - SEP non-TX,289918
110,Arsenal Hill - Fort Humbug ,138 kV,Line,2009/12/31,17700,3.352,Southwestern Electric Power (LA),TLN194:00110,In service,AEP - SEP non-TX,298830
111,Belcher - Hosston,69 kV,Line,1900/01/01,51681,9.788,Southwestern Electric Power (LA),TLN194:00111,In service,AEP - SEP non-TX,298350
112,Center - Logansport (LA),138 kV,Line,1945/12/31,3159,0.598,Southwestern Electric Power (LA),TLN194:00112,In service,AEP - SEP non-TX,306366
114,Arsenal Hill - Brooks Street,69 kV,Line,1965/12/31,9280,1.758,Southwestern Electric Power (LA),TLN194:00114,In service,AEP - SEP non-TX,299758
115,Arsenal Hill - Shed Road,69 kV,Line,1948/12/31,3,0.001,Southwestern Electric Power (LA),TLN194:00115,In service,AEP - SEP non-TX,290158
116,Brownlee Road - Minden Road,69 kV,Line,1962/12/31,23517,4.454,Southwestern Electric Power (LA),TLN194:00116,In service,AEP - SEP non-TX,298862
117,Hosston - Superior (CKT #2),69 kV,Line,1963/12/31,56269,10.657,Southwestern Electric Power (LA),TLN194:00117,In service,AEP - SEP non-TX,299262
118,Ellerbe Road - Lucas,69 kV,Line,1952/12/31,16815,3.185,Southwestern Electric Power (LA),TLN194:00118,In service,AEP - SEP non-TX,298526
119,Red Point - Whitehurst,138 kV,Line,1954/12/31,35955,6.810,Southwestern Electric Power (LA),TLN194:00119,In service,AEP - SEP non-TX,290254
121,Blanchard - Lieberman,69 kV,Line,1960/12/31,36683,6.947,Southwestern Electric Power (LA),TLN194:00121,In service,AEP - SEP non-TX,290334
122,Logansport - Rock Hill (LA),138 kV,Line,1948/12/31,22019,4.170,Southwestern Electric Power (LA),TLN194:00122,In service,AEP - SEP non-TX,306382
124,Calumet - Red Point,69 kV,Line,1970/12/31,22815,4.321,Southwestern Electric Power (LA),TLN194:00124,In service,AEP - SEP non-TX,300558
125,Flournoy - Hardy Street,69 kV,Line,1970/12/31,53790,10.187,Southwestern Electric Power (LA),TLN194:00125,In service,AEP - SEP non-TX,298766
126,IPC Jefferson - Lieberman (LA),138 kV,Line,1900/01/01,38615,7.314,Southwestern Electric Power (LA),TLN194:00126,In service,AEP - SEP non-TX,305838
127,Arsenal Hill - Longwood,138 kV,Line,1990/12/31,86758,16.431,Southwestern Electric Power (LA),TLN194:00127,In service,AEP - SEP non-TX,298398
128,Arsenal Hill - Lieberman,138 kV,Line,1925/12/31,112902,21.383,Southwestern Electric Power (LA),TLN194:00128,In service,AEP - SEP non-TX,290446
129,Rock Hill - South Shreveport (LA),138 kV,Line,1953/12/31,115268,21.831,Southwestern Electric Power (LA),TLN194:00129,In service,AEP - SEP non-TX,298542
130,Flournoy - General Motors,138 kV,Line,1956/12/31,8323,1.576,Southwestern Electric Power (LA),TLN194:00130,In service,AEP - SEP non-TX,290494
131,South Shreveport - Wallace Lake,138 kV,Line,1962/12/31,59257,11.223,Southwestern Electric Power (LA),TLN194:00131,In service,AEP - SEP non-TX,290574
132,Lieberman - Red Point,138 kV,Line,1967/12/31,176420,33.413,Southwestern Electric Power (LA),TLN194:00132,In service,AEP - SEP non-TX,290606
133,Dolet Hills - S.W. Shreveport,345 kV,Line,1981/12/31,183976,34.844,Southwestern Electric Power (LA),TLN194:00133,In service,AEP - SEP non-TX,298382
