ID,NAME,DESKV,LINE_TYPE,PNP,INSTALL_DATE,LENGTH,ALT_NAME_1,ALT_NUM_1,ALT_NUM_2,LINE_USAGE,OPCO_1_NAME,OPCO_1_EAS_NUMBER,STATUS,OWNING_COMPANY,PCT_AEP_OWNERSHIP,OBJECTID,NOTES,DOCUMENT,GLOBALID,ET_CREATOR,ET_CREATED,ET_EDITOR,ET_EDITED,LOCATION_Length,LOCATION
6399216,Hawthorne Tap,138 kV,Tap,None,,915.91,,81-545A,,,Public Service of Oklahoma,TLN114:0545A,In service,AEP - PSO,100,271102,,,{A0F65732-09FF-4CF0-9E7B-4045BDB1730D},,,S276934,"August 23, 2018",346.3477250480523,
21250528,Tulsa North 138 - Wekiwa,138 kV,Line,81-528,"December 31, 1978",104369.43000000001,,81-528,,,Public Service of Oklahoma,TLN114:0528,In service,AEP - PSO,100,287326,,,{40570B27-A6E2-48E3-AE40-2C447261DA25},,,,"February 6, 2015",39388.33502073332,
287342,Sand Springs - Wildhorse,138 kV,Line,,,119189.16,,81-806,,,Public Service of Oklahoma,TLN114:0806,In service,AEP - PSO,100,287342,,,{0AB4659E-1F42-4E78-9BEB-AFCF16FAA6E5},,,S281766,"March 27, 2018",45122.20443897288,
287374,Highway 20 Tap,138 kV,Tap,,,32475.18,,81-806A,,,Public Service of Oklahoma,TLN114:0806A,In service,AEP - PSO,100,287374,,,{E135F05C-56E7-48CE-B7D2-1093498CAD6D},,,S281088,"December 5, 2018",12300.384748086375,
21267824,Hominy Tap,138 kV,Tap,80-806B,"December 31, 1976",34656.64,,81-806B,,,Public Service of Oklahoma,TLN114:0806B,In service,AEP - PSO,100,287390,,,{9C494A48-D700-482B-8729-68D593A0DFAD},,,S281766,"March 26, 2018",13109.537843491383,
21290108,Riverside Power Station - Redbud (OG&E),345 kV,Line,90-907,"December 31, 1975",278683,,90-907,,,Public Service of Oklahoma,TLN114:0907,In service,AEP - PSO,100,287422,,,{11F2A6C9-E0F9-4F54-93BF-9EDE5A69E13D},,,S281088,"March 28, 2018",104538.79038565204,
21307580,Pittsburg 345 - Sunnyside(OG&E),345 kV,Line,90-915,"December 31, 1979",464005.44,,90-915,,,Public Service of Oklahoma,TLN114:0915,In service,AEP - PSO,100,287454,,,{66F17410-A1D1-43DB-AFB8-D262ABA2567D},,,S276934,"July 18, 2018",170850.56789341933,
21378883,Barnsdall Tap - Tulsa North 138,138 kV,Line,81-843,"December 31, 1966",134531.09,,81-843,,,Public Service of Oklahoma,TLN114:0843,In service,AEP - PSO,100,287486,,,{796FCBC3-481A-484E-8554-2649FCAADDD5},,,S281766,"March 28, 2018",50979.9204455738,
21388577,Okmulgee City - Riverside Power Station,138 kV,Line,81-837,"December 31, 1978",138078.35,,81-837,,,Public Service of Oklahoma,TLN114:0837,In service,AEP - PSO,100,287502,,,{3A761231-5B8E-4F93-BAC6-3DE44CAA45EC},,,S281088,"November 8, 2018",51962.360792626794,
21397383,Okmulgee - Weleetka  ,138 kV,Line,81-805,,123987.25,,81-805,,,Public Service of Oklahoma,TLN114:0805,In service,AEP - PSO,100,287518,,,{F9AACB09-DABF-43A5-8D29-6E9D6F8F53BF},,,S276934,"September 27, 2018",46425.46267269057,
21406785,Northeast Station - Tulsa North 345,345 kV,Line,90-909,"December 31, 1968",119893.44,,90-909,,,Public Service of Oklahoma,TLN114:0909,In service,AEP - PSO,100,287534,,,{5764FFE4-0818-41ED-8DB4-F18A19FF73FE},,,S276934,"September 27, 2018",45350.47788022335,
21420223,Bartlesville Southeast - Nowata,138 kV,Line,,"December 31, 1999",76714.31,,81-549,,,Public Service of Oklahoma,TLN114:0549,In service,AEP - PSO,100,287550,Line rebuilt with concrete structures in 2000,,{46FD9F95-4248-4270-88CD-31CE5A8E6CA8},,,S276934,"July 3, 2018",29110.615538408557,
21425701,Northeastern Power Station - Nowata,138 kV,Line,81-815,"December 31, 1978",106494.15000000001,,81-815,,,Public Service of Oklahoma,TLN114:0815,In service,AEP - PSO,100,287566,,,{03CBF46C-C6F5-4B23-BD49-ACB2F3CAF6E5},,,S276934,"August 23, 2018",40476.987297800915,
21432880,"Coffeyville Tap - City of Coffeyville ""B""",138 kV,Tap,81-826A,"December 31, 1974",14480.4,,81-826A,,,Public Service of Oklahoma,TLN114:0826A,In service,AEP - PSO,100,287582,,,{B590FEF6-526D-41E8-9350-84DE5DE19BD6},,,S284690,"December 27, 2018",5530.925336108002,
21485779,Idabel - Valliant 345,138 kV,Line,,,94107.88,,81-516,,,Public Service of Oklahoma,TLN114:0516,In service,AEP - PSO,100,287646,,,{D8313F2F-6F16-4138-B0D2-CBE8E567D91D},,,,"February 6, 2015",34457.49112506003,
21491781,Lydia - Valliant (PSO),345 kV,Line,90-905,"December 31, 1968",109506.56,,90-905,,,Public Service of Oklahoma,TLN114:0905,In service,AEP - PSO,100,287662,,,{103B5DDE-3F74-45F6-AF64-C08371C9CE2B},,,S256660,"January 21, 2016",40283.82912644501,
21656290,Bartlesville Southeast - Northeastern Station ,138 kV,Line,81-816,"December 31, 1999",128383.69,,81-816,,,Public Service of Oklahoma,TLN114:0816,In service,AEP - PSO,100,287694,Rebuilt in 2000 with concrete structures,,{9C54F966-2FB9-487E-B4EA-C506A939063F},,,S281766,"March 20, 2018",48771.45107966464,
21663310,Bartlesville SE - Dearing (KG&E),138 kV,Line,81-826,"December 31, 1962",119131.32,,,,,Oklahoma TransCo,TLN386:00826,In service,AEP - Oklahoma TransCo,100,287710,Rebuild in 2011,,{42A34FFE-19CD-4C7A-B093-01CBA50ADFDA},,,,"February 6, 2015",45433.36100070118,
287726,Delaware - Northeastern Station 345,345 kV,Line,90-908,"December 31, 1972",157870.11000000001,,90-908,,,Public Service of Oklahoma,TLN114:0908,In service,AEP - PSO,100,287726,,,{E815716F-1170-4536-BDA9-CAF14F133C20},,,S281766,"March 20, 2018",60115.92610149772,
21675861,Delaware 345 - Neosho (KG&E),345 kV,Line,90-922,"December 31, 1972",130065.2,,90-922,,,Public Service of Oklahoma,TLN114:0922,In service,AEP - PSO,100,287742,,,{457C7BDA-AE51-4121-A18C-FA1F0491FBE9},,,,"February 6, 2015",49536.86769535885,
21740496,Chambers Spring - Clarksville (OK),345 kV,Line,J-251,"December 31, 1998",314124.17,,251,,,Southwestern Electric Power (OK,TLN194:00251,In service,AEP - SEP non-TX,100,287758,,,{9BBEC88A-D92E-4A1E-B88E-4F4945824E22},,,S281088,"March 29, 2018",117933.31160109518,
21751951,SWPA Interconnect Tap,138 kV,Line,81-802,"December 31, 1949",13913.01,,81-569,,,Public Service of Oklahoma,TLN114:0802A,In service,AEP - PSO,100,287774,,,{EC9E6047-66E0-4F90-960A-F3978245AAE3},,,,"February 6, 2015",5196.904516394279,
